Group_Name,avg_time_per_book,bookshelf_link,category,curr_reading_authors,curr_reading_titles,group_type,location,member_cnt,tags
Cray Cray for YA!!!,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,Canada,3,"bookclub, teens-and-young-adults, young-adult"
Egyptians Good Readers,0.0,https://www.goodreads.com/group/bookshelf/52860-egyptians-good-readers,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Egypt,10702,"book-club, bookclub, egypt, egyptian, egyptian-readers, reading-challenges, reading-group, جروب, قراءة, كتاب"
Revisting My Childhood Books (readalong),0.0,,"Books & Literature, Children's Books",,,This is a public group. Anyone can join and invite others to join.,NA,2,"bookclub, childhood-books, young-adult"
FFO Book Club,0.0,,"Organizations, Clubs & Societies",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Sylvania, OH",3,bookclub
"Spooky Reads- Lafayette, LA",0.0,https://www.goodreads.com/group/bookshelf/434973-spooky-reads--lafayette-la,"Books & Literature, Horror",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","Lafayette, LA",3,"bookclub, horror, lafayette, lafayette-la, louisiana"
OSPBookies,0.0,,"Just for Fun, Totally Pointless",,,"This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.
          This group meets in real life.",NA,2,bookclub
SequelCare Book Club,0.0,https://www.goodreads.com/group/bookshelf/199412-sequelcare-book-club,"Books & Literature, Literature & Fiction",,,"This is a restricted group. Members can join if they have an email address at one of these domains: @scof.org, @sequelyouthservices.com.
          This group meets in real life.","Pinellas Park, FL",5,"bookclub, scof, sequelcare"
CNMC Book Club,0.0,,"Just for Fun, Too Much Information",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Washington, DC",2,"bookclub, historical, historical-fiction"
HappyMate Book Club Mumbai,0.0,,"Friends & Common Interest, Travel",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","40069, India",3,"bookclub, discussion-group, friends, india, meets-in-real-life, mumbai, readers"
The Book Drop Bookworms,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,NA,27,"bookclub, children, fiction, historical-fiction, subscription-box, thriller, ya, young-adult"
Bene Junior Book Club,0.0,,"Student Groups, Clubs & Societies",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Houston, TX",5,bookclub
Indy Christian Writers,0.0,,"Books & Literature, Literature & Fiction",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,2,"bookclub, christian-review-group, christian-writers, creative-nonfiction, critique, fellowship, fiction, historical-fiction, indianapolis, indianapolis-christian-writers"
Prince Kieran Defense Squad,0.0,,"Books & Literature, Gay & Lesbian",,,This is a private group. Members must be invited or approved by the group's moderator.,The United Kingdom,3,"bookclub, cassandraclare, defense, kieranofthehunt, lady-midnight"
Ridiculous Romance Book Club ,0.0,,"Books & Literature, Romance",,,This is a public group. Anyone can join and invite others to join.,NA,6,"bookclub, romance, silliness"
Lovely Books,0.0,,"Books & Literature, Literature & Fiction",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","10052, Italy",5,bookclub
#Reading 24/7,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,NA,6,"bookclub, books, discussion, family, fiction, friends, internet, love, nonfiction, romance"
The Bookworms' Village,0.0,,"Books & Literature, Parenting & Families",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",India,12,"bookclub, children, parenting"
Archer Book Club,0.0,,"Student Groups, Study Groups",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","San Antonio, TX",26,bookclub
BooyaBooks!,0.0,,"Books & Literature, Literature & Fiction",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,2,"bookclub, dragons, fantasy, literature"
Dragon's Nest Book Club,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,The United Kingdom,5,"bookclub, books, miss-peregrine, online-book-club, reading, young-adult"
Thoughtful Thursday Club,0.0,,"Books & Literature, Entertainment",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Canada,6,"bookclub, wine-night"
The Weekend Read Book Group,30.0,https://www.goodreads.com/group/bookshelf/199599-the-weekend-read-book-group,"Books & Literature, Literature & Fiction",Jenny Offill,"""Dept. of Speculation""","This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.
          This group meets in real life.","Olympia, WA",9,"bookclub, fiction-bookclub, less-than-200-pages"
Book Club & Book Review,0.0,https://www.goodreads.com/group/bookshelf/54696-book-club-book-review,"Goodreads Authors, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,66,"bookclub, street-lit, urban"
Indian Erotica Book Club,0.0,,"Books & Literature, Romance",,,This is a public group. Anyone can join and invite others to join.,India,4,"bookclub, erotica, erotica-books, fantasy, indian-authors, indian-writing"
Jerusalem (alan moore) reading group,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,Ireland,3,"alan-moore, bookclub, literature"
Girl Writers and Readers,0.0,https://www.goodreads.com/group/bookshelf/144927-girl-writers-and-readers,"Friends & Common Interest, Friends",,,This is a public group. Anyone can join and invite others to join.,NA,247,"bookclub, books, chat, friends, friendship-and-chat, games, games-and-fun, girls-only, meet-new-people, play"
The Milexy Universe,0.0,https://www.goodreads.com/group/bookshelf/184190-the-milexy-universe,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,NA,48,"bookclub, variety"
MMCC Readers Club,0.0,,"Student Groups, General",,,This is a private group. Members must be invited or approved by the group's moderator.,Australia,5,"bookclub, dystopian-fiction, fantasy, historical-fiction, young-adult-fiction-teen-fiction"
NewReader Book Club ,0.0,,"Books & Literature, Young Adult",,,"This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.",NA,2,"bookclub, late-to-the-party, new"
