author,num_pages,num_ratings,rating,title,url,year_published
Adam Silvera,320,18239,4.1,History Is All You Left Me,https://www.goodreads.com/book/show/25014114-history-is-all-you-left-me,2017
V.E. Schwab,400,111642,4.09,A Darker Shade of Magic,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,2015
Nnedi Okorafor,232,2567,3.9,The Book of Phoenix,https://www.goodreads.com/book/show/23281789-the-book-of-phoenix,2015
Paula Hawkins,386,146091,3.54,Into the Water,https://www.goodreads.com/book/show/33151805-into-the-water,2017
Mackenzi Lee,513,36332,4.16,The Gentleman's Guide to Vice and Virtue,https://www.goodreads.com/book/show/29283884-the-gentleman-s-guide-to-vice-and-virtue,2017
Marissa Meyer,390,535645,4.15,Cinder,https://www.goodreads.com/book/show/11235712-cinder,2012
Joby Warrick,368,8586,4.35,Black Flags: The Rise of ISIS,https://www.goodreads.com/book/show/25241317-black-flags,2015
Kamalakar Gune,164,0,0.0,Blue Sky Calling,https://www.goodreads.com/book/show/40832063-blue-sky-calling,2018
Stephanie Garber,407,72975,3.94,Caraval,https://www.goodreads.com/book/show/27883214-caraval,2017
Nicole  Williams,264,2432,3.73,Hate Story,https://www.goodreads.com/book/show/33002294-hate-story,2016
C.V. Dreesman,112,25,4.0,Cursefell,https://www.goodreads.com/book/show/24966824-cursefell,2015
R.J. Palacio,32,5240,4.28,We're All Wonders,https://www.goodreads.com/book/show/33120612-we-re-all-wonders,2017
Nicky P. Gardiner,332,11,4.73,The Showman And The Shade,https://www.goodreads.com/book/show/23511170-the-showman-and-the-shade,2014
Sue Grafton,496,19008,3.96,Y is for Yesterday,https://www.goodreads.com/book/show/31116293-y-is-for-yesterday,2017
Ernest Hemingway,189,323108,3.82,The Sun Also Rises,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises,1957
Franz Kafka,255,181637,3.99,The Trial,https://www.goodreads.com/book/show/17690.The_Trial,2001
Kevin Barry,192,1117,3.9,Dark Lies the Island,https://www.goodreads.com/book/show/16094938-dark-lies-the-island,2013
Jaci Wheeler,298,114,4.41,Silent Song,https://www.goodreads.com/book/show/36535545-silent-song,2018
Alison Weir,483,22491,3.97,The Lady Elizabeth,https://www.goodreads.com/book/show/1933181.The_Lady_Elizabeth,2008
Richard  Lawson,277,695,3.62,All We Can Do Is Wait,https://www.goodreads.com/book/show/35134091-all-we-can-do-is-wait,2018
M.C. Beaton,176,3809,3.78,Death of a Glutton,https://www.goodreads.com/book/show/724715.Death_of_a_Glutton,1995
Sarah Dunant,427,85832,3.8,The Birth of Venus,https://www.goodreads.com/book/show/28078.The_Birth_of_Venus,2004
P.G. Wodehouse,358,1429,4.08,The Luck of the Bodkins,https://www.goodreads.com/book/show/16401.The_Luck_of_the_Bodkins,2002
Gaute Heivoll,307,1109,3.51,Before I Burn,https://www.goodreads.com/book/show/17934650-before-i-burn,2014
Brent Weeks,671,54580,4.45,The Blinding Knife,https://www.goodreads.com/book/show/12499290-the-blinding-knife,2012
Jim Lynch,304,2163,3.63,Border Songs,https://www.goodreads.com/book/show/6098855-border-songs,2009
Josiah Bancroft,448,4866,4.28,Senlin Ascends,https://www.goodreads.com/book/show/35271523-senlin-ascends,2018
Jennifer Worth,340,44387,4.18,Call the Midwife,https://www.goodreads.com/book/show/21288872-call-the-midwife,2015
Lauren Layne,266,2569,3.95,Hot Asset,https://www.goodreads.com/book/show/36307262-hot-asset,2018
Seanan McGuire,325,2338,4.18,Reflections,https://www.goodreads.com/book/show/25547096-reflections,2016
Marie Kondō,291,17102,3.83,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,https://www.goodreads.com/book/show/25614984-spark-joy,2016
Adam Roberts,336,1430,3.64,Yellow Blue Tibia,https://www.goodreads.com/book/show/6056346-yellow-blue-tibia,2009
Neal Stephenson,752,14045,3.89,The Rise and Fall of D.O.D.O.,https://www.goodreads.com/book/show/32075825-the-rise-and-fall-of-d-o-d-o,2017
Andrzej Sapkowski,393,35179,4.39,Sword of Destiny,https://www.goodreads.com/book/show/25318857-sword-of-destiny,2015
Oliver Pötzsch,448,60831,3.72,The Hangman's Daughter,https://www.goodreads.com/book/show/9496240-the-hangman-s-daughter,2010
Edgar Rice Burroughs,248,7462,3.81,The Return of Tarzan,https://www.goodreads.com/book/show/589897.The_Return_of_Tarzan,2007
Masha Hamilton,320,2045,3.35,The Camel Bookmobile,https://www.goodreads.com/book/show/78425.The_Camel_Bookmobile,2007
Tatiana de Rosnay,240,213,3.5,The Rain Watcher,https://www.goodreads.com/book/show/37638024-the-rain-watcher,2018
Martha Soukup,0,4,3.25,A Defense of the Social Contracts,https://www.goodreads.com/book/show/23693223-a-defense-of-the-social-contracts,-3
Seanan McGuire,404,5347,3.88,Indexing,https://www.goodreads.com/book/show/17907054-indexing,2014
David Gemmell,345,22957,4.25,Legend,https://www.goodreads.com/book/show/618177.Legend,1994
Edgar Allan Poe,236,6072,4.53,The Complete Works of Edgar Allan Poe,https://www.goodreads.com/book/show/9507278-the-complete-works-of-edgar-allan-poe,2010
Robyn Harding,352,912,3.88,Her Pretty Face,https://www.goodreads.com/book/show/36373379-her-pretty-face,2018
Zara Stoneley,401,1202,3.92,The Wedding Date,https://www.goodreads.com/book/show/38576218-the-wedding-date,2018
Rosecrans Baldwin,286,2406,3.43,"Paris, I Love You but You're Bringing Me Down",https://www.goodreads.com/book/show/13159149-paris-i-love-you-but-you-re-bringing-me-down,2012
Margaret Atwood,468,80801,4.01,Alias Grace,https://www.goodreads.com/book/show/72579.Alias_Grace,1996
Virginia Woolf,89,83791,4.12,A Room of One's Own,https://www.goodreads.com/book/show/33861670-a-room-of-one-s-own,2017
William Shakespeare,283,1798681,3.74,Romeo and Juliet,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,2004
William Shakespeare,349,571278,3.89,Macbeth,https://www.goodreads.com/book/show/8852.Macbeth,2003
Italo Calvino,260,60130,4.07,If on a Winter's Night a Traveler,https://www.goodreads.com/book/show/374233.If_on_a_Winter_s_Night_a_Traveler,1982
Ernest Hemingway,25,673,3.54,The Snows of Kilimanjaro,https://www.goodreads.com/book/show/30317485-the-snows-of-kilimanjaro,1936
F. Scott Fitzgerald,387,95629,3.83,Tender Is the Night,https://www.goodreads.com/book/show/46164.Tender_Is_the_Night,1995
Johann Wolfgang von Goethe,503,24392,3.97,Faust,https://www.goodreads.com/book/show/406373.Faust,1998
Oscar Wilde,76,260208,4.17,The Importance of Being Earnest,https://www.goodreads.com/book/show/92303.The_Importance_of_Being_Earnest,2005
Fyodor Dostoyevsky,82,29698,4.04,White Nights,https://www.goodreads.com/book/show/1772910.White_Nights,-3
Sun Tzu,273,240695,3.96,The Art of War,https://www.goodreads.com/book/show/10534.The_Art_of_War,2005
Ursula K. Le Guin,183,184407,4.0,A Wizard of Earthsea,https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,2004
George Eliot,262,60880,3.61,Silas Marner,https://www.goodreads.com/book/show/54539.Silas_Marner,2005
Sandra Cisneros,110,97652,3.6,The House on Mango Street,https://www.goodreads.com/book/show/139253.The_House_on_Mango_Street,2009
Aleksandr Solzhenitsyn,182,78145,3.95,One Day in the Life of Ivan Denisovich,https://www.goodreads.com/book/show/17125.One_Day_in_the_Life_of_Ivan_Denisovich,2005
George Eliot,579,42675,3.78,The Mill on the Floss,https://www.goodreads.com/book/show/20564.The_Mill_on_the_Floss,2003
Samuel Beckett,109,130103,3.82,Waiting for Godot,https://www.goodreads.com/book/show/17716.Waiting_for_Godot,2011
E.M. Forster,119,128714,3.9,A Room with a View,https://www.goodreads.com/book/show/3087.A_Room_with_a_View,2005
Nellie Bly,92,6825,3.83,Ten Days in a Mad-House,https://www.goodreads.com/book/show/1642216.Ten_Days_in_a_Mad_House,1887
Fyodor Dostoyevsky,768,29727,4.26,Demons,https://www.goodreads.com/book/show/5695.Demons,1995
James Baldwin,159,36626,4.22,Giovanni's Room,https://www.goodreads.com/book/show/38462.Giovanni_s_Room,2000
T.H. White,639,86580,4.08,The Once and Future King,https://www.goodreads.com/book/show/43545.The_Once_and_Future_King,1987
