Group_Name,author,book_link,title
Addicted to YA,"Cavallaro, Brittany",https://www.goodreads.com/book/show/30256105-the-last-of-august,The Last of August (Charlotte Holmes #2)
Addicted to YA,"Cavallaro, Brittany",https://www.goodreads.com/book/show/23272028-a-study-in-charlotte,"A Study in Charlotte (Charlotte Holmes, #1)"
Addicted to YA,"Anderson, Lily",https://www.goodreads.com/book/show/35707056-undead-girl-gang,Undead Girl Gang
Addicted to YA,"Lu, Marie",https://www.goodreads.com/book/show/29749090-batman,"Batman: Nightwalker (DC Icons, #2)"
Addicted to YA,"Bardugo, Leigh",https://www.goodreads.com/book/show/29749085-wonder-woman,"Wonder Woman: Warbringer (DC Icons, #1)"
Addicted to YA,"Menon, Sandhya",https://www.goodreads.com/book/show/36373464-from-twinkle-with-love,"From Twinkle, with Love"
Addicted to YA,"Young, Adrienne",https://www.goodreads.com/book/show/34726469-sky-in-the-deep,Sky in the Deep
Addicted to YA,"Chokshi, Roshani",https://www.goodreads.com/book/show/34964865-a-crown-of-wishes,A Crown of Wishes (The Star-Touched Queen #2)
Addicted to YA,"White, Kiersten",https://www.goodreads.com/book/show/22817331-now-i-rise,"Now I Rise (And I Darken Series, #2)"
Addicted to YA,"Garber, Stephanie",https://www.goodreads.com/book/show/36329818-legendary,"Legendary (Caraval, #2)"
Addicted to YA,"Langdon, Lorie",https://www.goodreads.com/book/show/34817232-olivia-twist,Olivia Twist
Addicted to YA,"Maas, Sarah J.",https://www.goodreads.com/book/show/31076583-a-court-of-frost-and-starlight,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)"
Addicted to YA,"Brown, Pierce",https://www.goodreads.com/book/show/33257757-iron-gold,"Iron Gold (Red Rising, #4)"
Addicted to YA,"Kate, Lauren",https://www.goodreads.com/book/show/24909485-unforgiven,"Unforgiven (Fallen, #5)"
Addicted to YA,"Brennan, Sarah Rees",https://www.goodreads.com/book/show/18309803-unmade,"Unmade (The Lynburn Legacy, #3)"
Addicted to YA,"Davies, Jocelyn",https://www.goodreads.com/book/show/17331295-a-radiant-sky,"A Radiant Sky (A Beautiful Dark, #3)"
Addicted to YA,"Revis, Beth",https://www.goodreads.com/book/show/10345937-shades-of-earth,"Shades of Earth (Across the Universe, #3)"
Addicted to YA,"Garcia, Kami",https://www.goodreads.com/book/show/7930335-beautiful-redemption,"Beautiful Redemption (Caster Chronicles, #4)"
Addicted to YA,"Rossi, Veronica",https://www.goodreads.com/book/show/14288998-into-the-still-blue,"Into the Still Blue (Under the Never Sky, #3)"
Addicted to YA,"Cross, Kady",https://www.goodreads.com/book/show/18513756-the-girl-with-the-windup-heart,"The Girl with the Windup Heart (Steampunk Chronicles, #4)"
Addicted to YA,"Cross, Kady",https://www.goodreads.com/book/show/15822336-the-girl-with-the-iron-touch,"The Girl with the Iron Touch (Steampunk Chronicles, #3)"
Addicted to YA,"Hawkins, Rachel",https://www.goodreads.com/book/show/11454587-spell-bound,"Spell Bound (Hex Hall, #3)"
Addicted to YA,"McGarry, Katie",https://www.goodreads.com/book/show/25263399-chasing-impossible,"Chasing Impossible (Pushing the Limits, #5)"
Addicted to YA,"McGarry, Katie",https://www.goodreads.com/book/show/18333898-take-me-on,"Take Me On (Pushing the Limits, #4)"
Addicted to YA,"McGarry, Katie",https://www.goodreads.com/book/show/17233800-crash-into-you,"Crash into You (Pushing the Limits, #3)"
Addicted to YA,"Cast, P.C.",https://www.goodreads.com/book/show/16136599-redeemed,"Redeemed (House of Night, #12)"
Addicted to YA,"Adeyemi, Tomi",https://www.goodreads.com/book/show/39122774-children-of-virtue-and-vengeance,"Children of Virtue and Vengeance (Legacy of Orïsha, #2)"
Addicted to YA,"Shusterman, Neal",https://www.goodreads.com/book/show/37632682-the-toll,"The Toll (Arc of a Scythe, #3)"
Addicted to YA,"Shusterman, Neal",https://www.goodreads.com/book/show/33555224-thunderhead,"Thunderhead (Arc of a Scythe, #2)"
Addicted to YA,"Silvera, Adam",https://www.goodreads.com/book/show/25014114-history-is-all-you-left-me,History Is All You Left Me
The Sword and Laser,"Lee, Fonda",https://www.goodreads.com/book/show/34606064-jade-city,"Jade City (The Green Bone Saga, #1)"
The Sword and Laser,"Reeve, Philip",https://www.goodreads.com/book/show/287861.Mortal_Engines,"Mortal Engines (The Hungry City Chronicles, #1)"
The Sword and Laser,"Miller, Madeline",https://www.goodreads.com/book/show/35959740-circe,Circe
The Sword and Laser,"Lee, Tanith",https://www.goodreads.com/book/show/882258.Night_s_Master,Night's Master  (Tales from the Flat Earth #1)
The Sword and Laser,"Taylor, Dennis E.",https://www.goodreads.com/book/show/32109569-we-are-legion-we-are-bob,"We Are Legion We Are Bob (Bobiverse, #1)"
The Sword and Laser,"Solomon, Rivers",https://www.goodreads.com/book/show/34381254-an-unkindness-of-ghosts,An Unkindness of Ghosts
The Sword and Laser,"L'Engle, Madeleine",https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time,"A Wrinkle in Time (Time Quintet, #1)"
The Sword and Laser,"Shelley, Mary",https://www.goodreads.com/book/show/35220237-frankenstein-or-the-modern-prometheus,"Frankenstein, or the Modern Prometheus"
The Sword and Laser,"Eekhout, Greg Van",https://www.goodreads.com/book/show/18490594-california-bones,"California Bones (Daniel Blackland, #1)"
The Sword and Laser,"Willis, Connie",https://www.goodreads.com/book/show/24983.Doomsday_Book,"Doomsday Book (Oxford Time Travel, #1)"
The Sword and Laser,"Goss, Theodora",https://www.goodreads.com/book/show/34728925-the-strange-case-of-the-alchemist-s-daughter,"The Strange Case of the Alchemist's Daughter (The Extraordinary Adventures of the Athena Club, #1)"
The Sword and Laser,"Aldiss, Brian W.",https://www.goodreads.com/book/show/672244.Helliconia_Spring,"Helliconia Spring (Helliconia, #1)"
The Sword and Laser,"King, Stephen",https://www.goodreads.com/book/show/43615.The_Gunslinger,"The Gunslinger (The Dark Tower, #1)"
The Sword and Laser,"Le Guin, Ursula K.",https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,The Left Hand of Darkness (Hainish Cycle #6)
The Sword and Laser,"Bledsoe, Alex",https://www.goodreads.com/book/show/10942400-the-hum-and-the-shiver,"The Hum and the Shiver (Tufa, #1)"
